<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,14:15:00,109032,109037,109022,109037,65,0,0
20230703,14:16:00,109037,109041,109028,109029,38,0,0
20230703,14:17:00,109029,109038,109017,109032,57,0,0
20230703,14:18:00,109032,109047,109031,109037,45,0,0
20230703,14:19:00,109036,109036,109024,109025,52,0,0
20230703,14:20:00,109026,109033,109016,109016,38,0,0
20230703,14:21:00,109016,109016,108995,109006,44,0,0
20230703,14:22:00,109006,109018,109005,109010,23,0,0
20230703,14:23:00,109010,109011,108991,108994,24,0,0
20230703,14:24:00,108994,108997,108977,108993,49,0,0
20230703,14:25:00,108993,108995,108976,108977,39,0,0
20230703,14:26:00,108976,108983,108973,108981,28,0,0
20230703,14:27:00,108981,108983,108970,108971,29,0,0
20230703,14:28:00,108971,108975,108970,108972,22,0,0
20230703,14:29:00,108972,108972,108952,108952,33,0,0
20230703,14:30:00,108952,108959,108933,108957,64,0,0
20230703,14:31:00,108959,108967,108957,108963,31,0,0
20230703,14:32:00,108963,108967,108949,108958,42,0,0
20230703,14:33:00,108957,108958,108944,108951,37,0,0
20230703,14:34:00,108952,108963,108950,108957,30,0,0
20230703,14:35:00,108957,108967,108950,108966,44,0,0
20230703,14:36:00,108966,108976,108955,108976,63,0,0
20230703,14:37:00,108976,108984,108960,108960,49,0,0
20230703,14:38:00,108960,108966,108960,108963,35,0,0
20230703,14:39:00,108965,108966,108960,108960,40,0,0
20230703,14:40:00,108960,108966,108951,108966,45,0,0
20230703,14:41:00,108965,108987,108964,108987,49,0,0
20230703,14:42:00,108985,108987,108965,108965,47,0,0
20230703,14:43:00,108965,108966,108949,108955,76,0,0
20230703,14:44:00,108955,108977,108949,108975,66,0,0
20230703,14:45:00,108976,108977,108954,108954,55,0,0
20230703,14:46:00,108954,108955,108943,108954,31,0,0
20230703,14:47:00,108951,108951,108926,108934,47,0,0
20230703,14:48:00,108934,108953,108931,108943,41,0,0
20230703,14:49:00,108943,108975,108942,108975,78,0,0
20230703,14:50:00,108975,108980,108975,108976,18,0,0
20230703,14:51:00,108976,108987,108976,108980,31,0,0
20230703,14:52:00,108980,108994,108978,108993,25,0,0
20230703,14:53:00,108993,108997,108983,108983,32,0,0
20230703,14:54:00,108983,108983,108961,108961,39,0,0
20230703,14:55:00,108962,108992,108955,108986,41,0,0
20230703,14:56:00,108986,108992,108976,108981,76,0,0
20230703,14:57:00,108979,108985,108975,108983,61,0,0
20230703,14:58:00,108982,108994,108982,108991,70,0,0
20230703,14:59:00,108991,108996,108970,108992,137,0,0
20230703,15:00:00,108987,109019,108987,109001,131,0,0
20230703,15:01:00,109002,109008,108994,108995,60,0,0
20230703,15:02:00,108995,109008,108994,109006,68,0,0
20230703,15:03:00,109006,109008,108992,109000,63,0,0
20230703,15:04:00,108999,109007,108974,108975,74,0,0
20230703,15:05:00,108976,108987,108971,108986,81,0,0
20230703,15:06:00,108987,109001,108987,108990,51,0,0
20230703,15:07:00,108990,109006,108982,108999,32,0,0
20230703,15:08:00,108999,108999,108989,108998,39,0,0
20230703,15:09:00,108999,109002,108984,108985,76,0,0
20230703,15:10:00,108986,108990,108978,108985,48,0,0
20230703,15:11:00,108985,108989,108982,108985,44,0,0
20230703,15:12:00,108984,108999,108983,108996,59,0,0
20230703,15:13:00,108997,108998,108968,108968,53,0,0
20230703,15:14:00,108969,108973,108957,108970,46,0,0
20230703,15:15:00,108970,108973,108959,108961,47,0,0
20230703,15:16:00,108961,108973,108958,108970,35,0,0
20230703,15:17:00,108969,108969,108951,108959,50,0,0
